Gene description	Synonyms
Indolethylamine N-methyltransferase	INMT
Inducible T cell costimulator	ICOS
Inducible T cell costimulator ligand	ICOSLG
Inflammation and lipid regulator with UBA-like and NBR1-like domains	ILRUN
Influenza virus NS1A binding protein	IVNS1ABP
Inhibin subunit alpha	INHA
Inhibin subunit beta A	INHBA
Inhibin subunit beta B	INHBB
Inhibin subunit beta E	INHBE
Inhibitor of Bruton tyrosine kinase	IBTK
Inhibitor of CDK, cyclin A1 interacting protein 1	INCA-1; INCA1
Inhibitor of DNA binding 1	ID-1; ID1
Inhibitor of DNA binding 2	ID-2; ID2
Inhibitor of DNA binding 3	ID-3; ID3
Inhibitor of DNA binding 4	ID-4; ID4
Inhibitor of growth family member 1	ING-1; ING1
Inhibitor of growth family member 2	ING-2; ING2
Inhibitor of growth family member 3	ING-3; ING3
Inhibitor of growth family member 4	ING-4; ING4
Inhibitor of growth family member 5	ING-5; ING5
Inhibitor of nuclear factor kappa B kinase regulatory subunit gamma	IKBKG
Inhibitor of nuclear factor kappa B kinase subunit beta	IKBKB
Inhibitor of nuclear factor kappa B kinase subunit epsilon	IKBKE
Inhibitory synaptic factor 1	INSYN-1; INSYN1
Inhibitory synaptic factor 2A	INSYN2A
Inka box actin regulator 2	INKA-2; INKA2
Innate immunity activator	INAVA
Inner centromere protein	INCENP
Inner membrane mitochondrial protein	IMMT
Inner mitochondrial membrane peptidase subunit 2	IMMP2L
INO80 complex ATPase subunit	INO-80; INO80
INO80 complex subunit B	INO80B
INO80 complex subunit C	INO80C
INO80 complex subunit D	INO80D
INO80 complex subunit E	INO80E
Inorganic pyrophosphatase 1	Inorganic pyrophosphatase-1; PPA-1; PPA1
Inorganic pyrophosphatase 2	Inorganic pyrophosphatase-2; PPA-2; PPA2
Inosine monophosphate dehydrogenase 1	IMPDH-1; IMPDH1
Inosine monophosphate dehydrogenase 2	IMPDH-2; IMPDH2
Inosine triphosphatase	ITPA
Inositol 1,4,5-triphosphate receptor associated 1	IRAG-1; IRAG1
Inositol 1,4,5-triphosphate receptor associated 2	IRAG-2; IRAG2
Inositol 1,4,5-trisphosphate receptor interacting protein	ITPRIP
Inositol 1,4,5-trisphosphate receptor type 1	ITPR-1; ITPR1
Inositol 1,4,5-trisphosphate receptor type 2	ITPR-2; ITPR2
Inositol 1,4,5-trisphosphate receptor type 3	ITPR-3; ITPR3
Inositol hexakisphosphate kinase 1	IP6K1
Inositol hexakisphosphate kinase 2	IP6K2
Inositol hexakisphosphate kinase 3	IP6K3
Inositol monophosphatase 1	IMPA-1; IMPA1; Inositol monophosphatase-1
Inositol monophosphatase 2	IMPA-2; IMPA2; Inositol monophosphatase-2
Inositol polyphosphate multikinase	IPMK
Inositol polyphosphate phosphatase like 1	INPPL-1; INPPL1
Inositol polyphosphate-1-phosphatase	INPP-1; INPP1
Inositol polyphosphate-4-phosphatase type I A	INPP4A
Inositol polyphosphate-4-phosphatase type II B	INPP4B
Inositol polyphosphate-5-phosphatase A	INPP5A
Inositol polyphosphate-5-phosphatase B	INPP5B
Inositol polyphosphate-5-phosphatase D	INPP5D
Inositol polyphosphate-5-phosphatase E	INPP5E
Inositol polyphosphate-5-phosphatase F	INPP5F
Inositol polyphosphate-5-phosphatase J	INPP5J
Inositol polyphosphate-5-phosphatase K	INPP5K
Inositol-3-phosphate synthase 1	Inositol-3-phosphate synthase-1; ISYNA-1; ISYNA1
Inositol-pentakisphosphate 2-kinase	IPPK
Inositol-tetrakisphosphate 1-kinase	ITPK-1; ITPK1
Inositol-trisphosphate 3-kinase A	ITPKA
Inositol-trisphosphate 3-kinase B	ITPKB
Inositol-trisphosphate 3-kinase C	ITPKC
INS-IGF2 readthrough	INS-IGF2
INSC spindle orientation adaptor protein	INSC
INSM transcriptional repressor 1	INSM-1; INSM1
INSM transcriptional repressor 2	INSM-2; INSM2
Insulin	INS
Insulin degrading enzyme	IDE
Insulin induced gene 1	INSIG-1; INSIG1
Insulin induced gene 2	INSIG-2; INSIG2
Insulin like 3	INSL-3; INSL3; Insulin like-3
Insulin like 4	INSL-4; INSL4; Insulin like-4
Insulin like 5	INSL-5; INSL5; Insulin like-5
Insulin like growth factor 1	IGF-1; IGF1
Insulin like growth factor 1 receptor	IGF1R
Insulin like growth factor 2	IGF-2; IGF2
Insulin like growth factor 2 mRNA binding protein 1	IGF2BP1
Insulin like growth factor 2 mRNA binding protein 2	IGF2BP2
Insulin like growth factor 2 mRNA binding protein 3	IGF2BP3
Insulin like growth factor 2 receptor	IGF2R
Insulin like growth factor binding protein 1	IGFBP-1; IGFBP1
Insulin like growth factor binding protein 2	IGFBP-2; IGFBP2
Insulin like growth factor binding protein 3	IGFBP-3; IGFBP3
Insulin like growth factor binding protein 4	IGFBP-4; IGFBP4
Insulin like growth factor binding protein 5	IGFBP-5; IGFBP5
Insulin like growth factor binding protein 6	IGFBP-6; IGFBP6
Insulin like growth factor binding protein 7	IGFBP-7; IGFBP7
Insulin like growth factor binding protein acid labile subunit	IGFALS
Insulin like growth factor binding protein like 1	IGFBPL-1; IGFBPL1
Insulin receptor	INSR
Insulin receptor related receptor	INSRR
Insulin receptor substrate 1	IRS-1; IRS1
Insulin receptor substrate 2	IRS-2; IRS2
Insulin receptor substrate 4	IRS-4; IRS4
Integral membrane protein 2A	ITM2A
Integral membrane protein 2B	ITM2B
Integral membrane protein 2C	ITM2C
Integrator complex subunit 1	INTS-1; INTS1
Integrator complex subunit 10	INTS-10; INTS10
Integrator complex subunit 11	INTS-11; INTS11
Integrator complex subunit 12	INTS-12; INTS12
Integrator complex subunit 13	INTS-13; INTS13
Integrator complex subunit 14	INTS-14; INTS14
Integrator complex subunit 2	INTS-2; INTS2
Integrator complex subunit 3	INTS-3; INTS3
Integrator complex subunit 4	INTS-4; INTS4
Integrator complex subunit 5	INTS-5; INTS5
Integrator complex subunit 6	INTS-6; INTS6
Integrator complex subunit 6 like	INTS6L
Integrator complex subunit 7	INTS-7; INTS7
Integrator complex subunit 8	INTS-8; INTS8
Integrator complex subunit 9	INTS-9; INTS9
Integrin alpha FG-GAP repeat containing 1	ITFG-1; ITFG1
Integrin alpha FG-GAP repeat containing 2	ITFG-2; ITFG2
Integrin binding sialoprotein	IBSP
Integrin linked kinase	ILK
Integrin subunit alpha 1	ITGA-1; ITGA1
Integrin subunit alpha 11	ITGA-11; ITGA11
Integrin subunit alpha 2	ITGA-2; ITGA2
Integrin subunit alpha 2b	ITGA2B
Integrin subunit alpha 3	ITGA-3; ITGA3
Integrin subunit alpha 4	ITGA-4; ITGA4
Integrin subunit alpha 5	ITGA-5; ITGA5
Integrin subunit alpha 6	ITGA-6; ITGA6
Integrin subunit alpha 7	ITGA-7; ITGA7
Integrin subunit alpha 8	ITGA-8; ITGA8
Integrin subunit alpha 9	ITGA-9; ITGA9
Integrin subunit alpha D	ITGAD
Integrin subunit alpha E	ITGAE
Integrin subunit alpha L	ITGAL
Integrin subunit alpha M	ITGAM
Integrin subunit alpha V	ITGAV
Integrin subunit alpha X	ITGAX
Integrin subunit beta 1	ITGB-1; ITGB1
Integrin subunit beta 1 binding protein 1	ITGB1BP1
Integrin subunit beta 1 binding protein 2	ITGB1BP2
Integrin subunit beta 2	ITGB-2; ITGB2
Integrin subunit beta 3	ITGB-3; ITGB3
Integrin subunit beta 3 binding protein	ITGB3BP
Integrin subunit beta 4	ITGB-4; ITGB4
Integrin subunit beta 5	ITGB-5; ITGB5
Integrin subunit beta 6	ITGB-6; ITGB6
Integrin subunit beta 7	ITGB-7; ITGB7
Integrin subunit beta 8	ITGB-8; ITGB8
Intelectin 1	Intelectin-1; ITLN-1; ITLN1
Inter-alpha-trypsin inhibitor heavy chain 1	ITIH-1; ITIH1
Inter-alpha-trypsin inhibitor heavy chain 2	ITIH-2; ITIH2
Inter-alpha-trypsin inhibitor heavy chain 3	ITIH-3; ITIH3
Inter-alpha-trypsin inhibitor heavy chain 4	ITIH-4; ITIH4
Inter-alpha-trypsin inhibitor heavy chain family member 6	ITIH-6; ITIH6
Interaction protein for cytohesin exchange factors 1	IPCEF-1; IPCEF1
Interactor of HORMAD1 1	IHO-1; IHO1
Interactor of little elongation complex ELL subunit 1	ICE-1; ICE1
Interactor of little elongation complex ELL subunit 2	ICE-2; ICE2
Interacts with SUPT6H, CTD assembly factor 1	IWS-1; IWS1
Intercellular adhesion molecule 1	ICAM-1; ICAM1
Intercellular adhesion molecule 2	ICAM-2; ICAM2
Intercellular adhesion molecule 3	ICAM-3; ICAM3
Intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ICAM-4; ICAM4
Intercellular adhesion molecule 5	ICAM-5; ICAM5
Interferon alpha 1	IFNA-1; IFNA1; Interferon alpha-1
Interferon alpha 10	IFNA-10; IFNA10; Interferon alpha-10
Interferon alpha 13	IFNA-13; IFNA13; Interferon alpha-13
Interferon alpha 14	IFNA-14; IFNA14; Interferon alpha-14
Interferon alpha 16	IFNA-16; IFNA16; Interferon alpha-16
Interferon alpha 17	IFNA-17; IFNA17; Interferon alpha-17
Interferon alpha 2	IFNA-2; IFNA2; Interferon alpha-2
Interferon alpha 21	IFNA-21; IFNA21; Interferon alpha-21
Interferon alpha 4	IFNA-4; IFNA4; Interferon alpha-4
Interferon alpha 5	IFNA-5; IFNA5; Interferon alpha-5
Interferon alpha 6	IFNA-6; IFNA6; Interferon alpha-6
Interferon alpha 7	IFNA-7; IFNA7; Interferon alpha-7
Interferon alpha 8	IFNA-8; IFNA8; Interferon alpha-8
Interferon alpha and beta receptor subunit 1	IFNAR-1; IFNAR1
Interferon alpha and beta receptor subunit 2	IFNAR-2; IFNAR2
Interferon alpha inducible protein 27	IFI-27; IFI27
Interferon alpha inducible protein 27 like 1	IFI27L1
Interferon alpha inducible protein 6	IFI-6; IFI6
Interferon beta 1	IFNB-1; IFNB1; Interferon beta-1
Interferon gamma	IFNG
Interferon gamma inducible protein 16	IFI-16; IFI16
Interferon gamma receptor 1	IFNGR-1; IFNGR1
Interferon gamma receptor 2	IFNGR-2; IFNGR2
Interferon induced protein 35	IFI-35; IFI35
Interferon induced protein 44	IFI-44; IFI44
Interferon induced protein 44 like	IFI44L
Interferon induced protein with tetratricopeptide repeats 1	IFIT-1; IFIT1
Interferon induced protein with tetratricopeptide repeats 1B	IFIT1B
Interferon induced protein with tetratricopeptide repeats 2	IFIT-2; IFIT2
Interferon induced protein with tetratricopeptide repeats 3	IFIT-3; IFIT3
Interferon induced protein with tetratricopeptide repeats 5	IFIT-5; IFIT5
Interferon induced transmembrane protein 1	IFITM-1; IFITM1
Interferon induced transmembrane protein 2	IFITM-2; IFITM2
Interferon induced transmembrane protein 3	IFITM-3; IFITM3
Interferon induced transmembrane protein 5	IFITM-5; IFITM5
Interferon induced with helicase C domain 1	IFIH-1; IFIH1
Interferon kappa	IFNK
Interferon lambda 1	IFNL-1; IFNL1; Interferon lambda-1
Interferon lambda 3	IFNL-3; IFNL3; Interferon lambda-3
Interferon lambda receptor 1	IFNLR-1; IFNLR1
Interferon omega 1	IFNW-1; IFNW1; Interferon omega-1
Interferon regulatory factor 1	IRF-1; IRF1
Interferon regulatory factor 2	IRF-2; IRF2
Interferon regulatory factor 2 binding protein 1	IRF2BP1
Interferon regulatory factor 2 binding protein 2	IRF2BP2
Interferon regulatory factor 2 binding protein like	IRF2BPL
Interferon regulatory factor 3	IRF-3; IRF3
Interferon regulatory factor 4	IRF-4; IRF4
Interferon regulatory factor 5	IRF-5; IRF5
Interferon regulatory factor 6	IRF-6; IRF6
Interferon regulatory factor 7	IRF-7; IRF7
Interferon regulatory factor 8	IRF-8; IRF8
Interferon regulatory factor 9	IRF-9; IRF9
Interferon related developmental regulator 1	IFRD-1; IFRD1
Interferon related developmental regulator 2	IFRD-2; IFRD2
Interferon stimulated exonuclease gene 20	ISG-20; ISG20
Interferon stimulated exonuclease gene 20 like 2	ISG20L2
Interleukin 1 alpha	IL1A
Interleukin 1 beta	IL1B
Interleukin 1 family member 10	IL1F10
Interleukin 1 receptor accessory protein	IL1RAP
Interleukin 1 receptor accessory protein like 1	IL1RAPL1
Interleukin 1 receptor accessory protein like 2	IL1RAPL2
Interleukin 1 receptor antagonist	IL1RN
Interleukin 1 receptor associated kinase 1	IRAK-1; IRAK1
Interleukin 1 receptor associated kinase 1 binding protein 1	IRAK1BP1
Interleukin 1 receptor associated kinase 2	IRAK-2; IRAK2
Interleukin 1 receptor associated kinase 3	IRAK-3; IRAK3
Interleukin 1 receptor associated kinase 4	IRAK-4; IRAK4
Interleukin 1 receptor like 1	IL1RL1
Interleukin 1 receptor like 2	IL1RL2
Interleukin 1 receptor type 1	IL1R1
Interleukin 1 receptor type 2	IL1R2
Interleukin 10	IL-10; IL10; Interleukin-10
Interleukin 10 receptor subunit alpha	IL10RA
Interleukin 10 receptor subunit beta	IL10RB
Interleukin 11	IL-11; IL11; Interleukin-11
Interleukin 11 receptor subunit alpha	IL11RA
Interleukin 12 receptor subunit beta 1	IL12RB1
Interleukin 12 receptor subunit beta 2	IL12RB2
Interleukin 12A	IL12A
Interleukin 12B	IL12B
Interleukin 13	IL-13; IL13; Interleukin-13
Interleukin 13 receptor subunit alpha 1	IL13RA1
Interleukin 13 receptor subunit alpha 2	IL13RA2
Interleukin 15	IL-15; IL15; Interleukin-15
Interleukin 15 receptor subunit alpha	IL15RA
Interleukin 16	IL-16; IL16; Interleukin-16
Interleukin 17 receptor A	IL17RA
Interleukin 17 receptor B	IL17RB
Interleukin 17 receptor C	IL17RC
Interleukin 17 receptor D	IL17RD
Interleukin 17 receptor E	IL17RE
Interleukin 17A	IL17A
Interleukin 17C	IL17C
Interleukin 17F	IL17F
Interleukin 18	IL-18; IL18; Interleukin-18
Interleukin 18 binding protein	IL18BP
Interleukin 18 receptor 1	IL18R1
Interleukin 18 receptor accessory protein	IL18RAP
Interleukin 19	IL-19; IL19; Interleukin-19
Interleukin 2	IL-2; IL2; Interleukin-2
Interleukin 2 receptor subunit alpha	IL2RA
Interleukin 2 receptor subunit beta	IL2RB
Interleukin 2 receptor subunit gamma	IL2RG
Interleukin 20	IL-20; IL20; Interleukin-20
Interleukin 20 receptor subunit alpha	IL20RA
Interleukin 20 receptor subunit beta	IL20RB
Interleukin 21	IL-21; IL21; Interleukin-21
Interleukin 21 receptor	IL21R
Interleukin 22	IL-22; IL22; Interleukin-22
Interleukin 22 receptor subunit alpha 1	IL22RA1
Interleukin 22 receptor subunit alpha 2	IL22RA2
Interleukin 23 receptor	IL23R
Interleukin 23 subunit alpha	IL23A
Interleukin 24	IL-24; IL24; Interleukin-24
Interleukin 25	IL-25; IL25; Interleukin-25
Interleukin 26	IL-26; IL26; Interleukin-26
Interleukin 27	IL-27; IL27; Interleukin-27
Interleukin 27 receptor subunit alpha	IL27RA
Interleukin 3	IL-3; IL3; Interleukin-3
Interleukin 3 receptor subunit alpha	IL3RA
Interleukin 31	IL-31; IL31; Interleukin-31
Interleukin 31 receptor A	IL31RA
Interleukin 32	IL-32; IL32; Interleukin-32
Interleukin 33	IL-33; IL33; Interleukin-33
Interleukin 34	IL-34; IL34; Interleukin-34
Interleukin 36 alpha	IL36A
Interleukin 36 beta	IL36B
Interleukin 36 gamma	IL36G
Interleukin 36 receptor antagonist	IL36RN
Interleukin 37	IL-37; IL37; Interleukin-37
Interleukin 4	IL-4; IL4; Interleukin-4
Interleukin 4 induced 1	IL4I1
Interleukin 4 receptor	IL4R
Interleukin 5	IL-5; IL5; Interleukin-5
Interleukin 5 receptor subunit alpha	IL5RA
Interleukin 6	IL-6; IL6; Interleukin-6
Interleukin 6 cytokine family signal transducer	IL6ST
Interleukin 6 receptor	IL6R
Interleukin 7	IL-7; IL7; Interleukin-7
Interleukin 7 receptor	IL7R
Interleukin enhancer binding factor 2	ILF-2; ILF2
Interleukin enhancer binding factor 3	ILF-3; ILF3
Intermediate filament family orphan 1	IFFO-1; IFFO1
Internexin neuronal intermediate filament protein alpha	INA
Interphotoreceptor matrix proteoglycan 1	IMPG-1; IMPG1
Interphotoreceptor matrix proteoglycan 2	IMPG-2; IMPG2
Intersectin 1	Intersectin-1; ITSN-1; ITSN1
Intersectin 2	Intersectin-2; ITSN-2; ITSN2
Intestine specific homeobox	ISX
Intracisternal A particle-promoted polypeptide	IPP
Intraflagellar transport 122	IFT-122; IFT122; Intraflagellar transport-122
Intraflagellar transport 140	IFT-140; IFT140; Intraflagellar transport-140
Intraflagellar transport 172	IFT-172; IFT172; Intraflagellar transport-172
Intraflagellar transport 20	IFT-20; IFT20; Intraflagellar transport-20
Intraflagellar transport 22	IFT-22; IFT22; Intraflagellar transport-22
Intraflagellar transport 27	IFT-27; IFT27; Intraflagellar transport-27
Intraflagellar transport 43	IFT-43; IFT43; Intraflagellar transport-43
Intraflagellar transport 46	IFT-46; IFT46; Intraflagellar transport-46
Intraflagellar transport 52	IFT-52; IFT52; Intraflagellar transport-52
Intraflagellar transport 57	IFT-57; IFT57; Intraflagellar transport-57
Intraflagellar transport 74	IFT-74; IFT74; Intraflagellar transport-74
Intraflagellar transport 80	IFT-80; IFT80; Intraflagellar transport-80
Intraflagellar transport 81	IFT-81; IFT81; Intraflagellar transport-81
Intraflagellar transport 88	IFT-88; IFT88; Intraflagellar transport-88
Intraflagellar transport associated protein	IFTAP
INTS3 and NABP interacting protein	INIP
Inturned planar cell polarity protein	INTU
Inversin	INVS
Inverted formin 2	INF-2; INF2; Inverted formin-2
Involucrin	IVL
Iodothyronine deiodinase 1	DIO-1; DIO1; Iodothyronine deiodinase-1
Iodothyronine deiodinase 2	DIO-2; DIO2; Iodothyronine deiodinase-2
Iodothyronine deiodinase 3	DIO-3; DIO3; Iodothyronine deiodinase-3
Iodotyrosine deiodinase	IYD
IQ motif and Sec7 domain ArfGEF 1	IQSEC-1; IQSEC1
IQ motif and Sec7 domain ArfGEF 2	IQSEC-2; IQSEC2
IQ motif and ubiquitin domain containing	IQUB
IQ motif containing B1	IQCB-1; IQCB1
IQ motif containing C	IQCC
IQ motif containing D	IQCD
IQ motif containing E	IQCE
IQ motif containing F1	IQCF-1; IQCF1
IQ motif containing F2	IQCF-2; IQCF2
IQ motif containing F3	IQCF-3; IQCF3
IQ motif containing G	IQCG
IQ motif containing GTPase activating protein 1	IQGAP-1; IQGAP1
IQ motif containing GTPase activating protein 2	IQGAP-2; IQGAP2
IQ motif containing GTPase activating protein 3	IQGAP-3; IQGAP3
IQ motif containing N	IQCN
IQCJ-SCHIP1 readthrough	IQCJ-SCHIP1
Iron responsive element binding protein 2	IREB-2; IREB2
Iron-sulfur cluster assembly 1	ISCA-1; ISCA1
Iron-sulfur cluster assembly 2	ISCA-2; ISCA2
Iron-sulfur cluster assembly enzyme	ISCU
Iron-sulfur cluster assembly factor IBA57	IBA-57; IBA57
Iroquois homeobox 2	Iroquois homeobox-2; IRX-2; IRX2
Iroquois homeobox 4	Iroquois homeobox-4; IRX-4; IRX4
Iroquois homeobox 5	Iroquois homeobox-5; IRX-5; IRX5
Iroquois homeobox 6	Iroquois homeobox-6; IRX-6; IRX6
ISG15 ubiquitin like modifier	ISG-15; ISG15
ISL LIM homeobox 1	ISL-1; ISL1
ISL LIM homeobox 2	ISL-2; ISL2
Islet amyloid polypeptide	IAPP
Islet cell autoantigen 1	ICA-1; ICA1
Islet cell autoantigen 1 like	ICA1L
Isoamyl acetate hydrolyzing esterase 1 (putative)	IAH-1; IAH1
Isochorismatase domain containing 1	ISOC-1; ISOC1
Isochorismatase domain containing 2	ISOC-2; ISOC2
Isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha	IDH3A
Isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta	IDH3B
Isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma	IDH3G
Isocitrate dehydrogenase (NADP(+)) 1	IDH-1; IDH1
Isocitrate dehydrogenase (NADP(+)) 2	IDH-2; IDH2
Isoleucyl-tRNA synthetase 1	IARS-1; IARS1; Isoleucyl-tRNA synthetase-1
Isoleucyl-tRNA synthetase 2, mitochondrial	IARS-2; IARS2
Isopentenyl-diphosphate delta isomerase 1	IDI-1; IDI1
Isopentenyl-diphosphate delta isomerase 2	IDI-2; IDI2
Isoprenylcysteine carboxyl methyltransferase	ICMT
Isovaleryl-CoA dehydrogenase	IVD
IST1 factor associated with ESCRT-III	IST-1; IST1
Isthmin 2	ISM-2; ISM2; Isthmin-2
ISY1 splicing factor homolog	ISY-1; ISY1
Itchy E3 ubiquitin protein ligase	ITCH
ITPR interacting domain containing 2	ITPRID-2; ITPRID2
ITPRIP like 1	ITPRIP like-1; ITPRIPL-1; ITPRIPL1
ITPRIP like 2	ITPRIP like-2; ITPRIPL-2; ITPRIPL2
Izumo sperm-egg fusion 1	IZUMO-1; IZUMO1
IZUMO1 receptor, JUNO	IZUMO1R
Jade family PHD finger 1	JADE-1; JADE1
Jade family PHD finger 2	JADE-2; JADE2
Jade family PHD finger 3	JADE-3; JADE3
Jagged canonical Notch ligand 1	JAG-1; JAG1
Jagged canonical Notch ligand 2	JAG-2; JAG2
Jagunal homolog 1	JAGN-1; JAGN1; Jagunal homolog-1
Janus kinase 1	JAK-1; JAK1; Janus kinase-1
Janus kinase 2	JAK-2; JAK2; Janus kinase-2
Janus kinase 3	JAK-3; JAK3; Janus kinase-3
Janus kinase and microtubule interacting protein 1	JAKMIP-1; JAKMIP1
Janus kinase and microtubule interacting protein 2	JAKMIP-2; JAKMIP2
JAZF zinc finger 1	JAZF-1; JAZF1
JNK1/MAPK8 associated membrane protein	JKAMP
Joining chain of multimeric IgA and IgM	JCHAIN
Josephin domain containing 1	JOSD-1; JOSD1
Josephin domain containing 2	JOSD-2; JOSD2
Jrk helix-turn-helix protein	JRK
Jumonji and AT-rich interaction domain containing 2	JARID-2; JARID2
Jumonji domain containing 1C	JMJD1C
Jumonji domain containing 4	JMJD-4; JMJD4
Jumonji domain containing 6, arginine demethylase and lysine hydroxylase	JMJD-6; JMJD6
Jumonji domain containing 7	JMJD-7; JMJD7
Jumonji domain containing 8	JMJD-8; JMJD8
Jumping translocation breakpoint	JTB
Jun dimerization protein 2	JDP-2; JDP2
Jun proto-oncogene, AP-1 transcription factor subunit	JUN
JunB proto-oncogene, AP-1 transcription factor subunit	JUNB
Junction adhesion molecule like	JAML
Junction mediating and regulatory protein, p53 cofactor	JMY
Junction plakoglobin	JUP
Junctional adhesion molecule 2	JAM-2; JAM2
Junctional adhesion molecule 3	JAM-3; JAM3
Junctional cadherin 5 associated	JCAD
Junctional sarcoplasmic reticulum protein 1	JSRP-1; JSRP1
Junctophilin 1	JPH-1; JPH1; Junctophilin-1
Junctophilin 2	JPH-2; JPH2; Junctophilin-2
Junctophilin 3	JPH-3; JPH3; Junctophilin-3
Junctophilin 4	JPH-4; JPH4; Junctophilin-4
JunD proto-oncogene, AP-1 transcription factor subunit	JUND
Jupiter microtubule associated homolog 1	JPT-1; JPT1
Jupiter microtubule associated homolog 2	JPT-2; JPT2
Kalirin RhoGEF kinase	KALRN
Kallikrein 1	Kallikrein-1; KLK-1; KLK1
Kallikrein B1	KLKB-1; KLKB1
Kallikrein related peptidase 10	KLK-10; KLK10
Kallikrein related peptidase 11	KLK-11; KLK11
Kallikrein related peptidase 12	KLK-12; KLK12
Kallikrein related peptidase 14	KLK-14; KLK14
Kallikrein related peptidase 15	KLK-15; KLK15
Kallikrein related peptidase 2	KLK-2; KLK2
Kallikrein related peptidase 3	KLK-3; KLK3
Kallikrein related peptidase 4	KLK-4; KLK4
Kallikrein related peptidase 5	KLK-5; KLK5
Kallikrein related peptidase 6	KLK-6; KLK6
Kallikrein related peptidase 7	KLK-7; KLK7
Kallikrein related peptidase 8	KLK-8; KLK8
Kaptin, actin binding protein	KPTN
Karyopherin subunit alpha 1	KPNA-1; KPNA1
Karyopherin subunit alpha 2	KPNA-2; KPNA2
Karyopherin subunit alpha 3	KPNA-3; KPNA3
Karyopherin subunit alpha 4	KPNA-4; KPNA4
Karyopherin subunit alpha 5	KPNA-5; KPNA5
Karyopherin subunit alpha 6	KPNA-6; KPNA6
Karyopherin subunit alpha 7	KPNA-7; KPNA7
Karyopherin subunit beta 1	KPNB-1; KPNB1
KASH domain containing 5	KASH-5; KASH5
KAT8 regulatory NSL complex subunit 1	KANSL-1; KANSL1
KAT8 regulatory NSL complex subunit 1 like	KANSL1L
KAT8 regulatory NSL complex subunit 2	KANSL-2; KANSL2
KAT8 regulatory NSL complex subunit 3	KANSL-3; KANSL3
Katanin catalytic subunit A1	KATNA-1; KATNA1
Katanin catalytic subunit A1 like 1	KATNAL-1; KATNAL1
Katanin catalytic subunit A1 like 2	KATNAL-2; KATNAL2
Katanin interacting protein	KATNIP
Katanin regulatory subunit B1	KATNB-1; KATNB1
Katanin regulatory subunit B1 like 1	KATNBL-1; KATNBL1
Kazal type serine peptidase inhibitor domain 1	KAZALD-1; KAZALD1
Kazrin, periplakin interacting protein	KAZN
KDEL endoplasmic reticulum protein retention receptor 1	KDELR-1; KDELR1
KDEL endoplasmic reticulum protein retention receptor 2	KDELR-2; KDELR2
KDEL endoplasmic reticulum protein retention receptor 3	KDELR-3; KDELR3
Kelch domain containing 1	KLHDC-1; KLHDC1
Kelch domain containing 10	KLHDC-10; KLHDC10
Kelch domain containing 2	KLHDC-2; KLHDC2
Kelch domain containing 3	KLHDC-3; KLHDC3
Kelch domain containing 4	KLHDC-4; KLHDC4
Kelch domain containing 7A	KLHDC7A
Kelch domain containing 7B	KLHDC7B
Kelch domain containing 8A	KLHDC8A
Kelch domain containing 9	KLHDC-9; KLHDC9
Kelch like ECH associated protein 1	KEAP-1; KEAP1
Kelch like family member 1	KLHL-1; KLHL1
Kelch like family member 10	KLHL-10; KLHL10
Kelch like family member 11	KLHL-11; KLHL11
Kelch like family member 12	KLHL-12; KLHL12
Kelch like family member 13	KLHL-13; KLHL13
Kelch like family member 14	KLHL-14; KLHL14
Kelch like family member 15	KLHL-15; KLHL15
Kelch like family member 17	KLHL-17; KLHL17
Kelch like family member 18	KLHL-18; KLHL18
Kelch like family member 2	KLHL-2; KLHL2
Kelch like family member 20	KLHL-20; KLHL20
Kelch like family member 21	KLHL-21; KLHL21
Kelch like family member 22	KLHL-22; KLHL22
Kelch like family member 23	KLHL-23; KLHL23
Kelch like family member 24	KLHL-24; KLHL24
Kelch like family member 25	KLHL-25; KLHL25
Kelch like family member 26	KLHL-26; KLHL26
Kelch like family member 29	KLHL-29; KLHL29
Kelch like family member 3	KLHL-3; KLHL3
Kelch like family member 32	KLHL-32; KLHL32
Kelch like family member 35	KLHL-35; KLHL35
Kelch like family member 36	KLHL-36; KLHL36
Kelch like family member 38	KLHL-38; KLHL38
Kelch like family member 4	KLHL-4; KLHL4
Kelch like family member 40	KLHL-40; KLHL40
Kelch like family member 41	KLHL-41; KLHL41
Kelch like family member 42	KLHL-42; KLHL42
Kelch like family member 5	KLHL-5; KLHL5
Kelch like family member 6	KLHL-6; KLHL6
Kelch like family member 7	KLHL-7; KLHL7
Kelch like family member 8	KLHL-8; KLHL8
Kelch like family member 9	KLHL-9; KLHL9
Kelch repeat and BTB domain containing 11	KBTBD-11; KBTBD11
Kelch repeat and BTB domain containing 12	KBTBD-12; KBTBD12
Kelch repeat and BTB domain containing 13	KBTBD-13; KBTBD13
Kelch repeat and BTB domain containing 2	KBTBD-2; KBTBD2
Kelch repeat and BTB domain containing 4	KBTBD-4; KBTBD4
Kelch repeat and BTB domain containing 6	KBTBD-6; KBTBD6
Kelch repeat and BTB domain containing 7	KBTBD-7; KBTBD7
Kelch repeat and BTB domain containing 8	KBTBD-8; KBTBD8
Kell metallo-endopeptidase (Kell blood group)	KEL
Keratin 1	Keratin-1; KRT-1; KRT1
